iter	Passed	Remaining
0	59	59314
1	122	61119
2	168	56144
3	228	56784
4	284	56558
5	341	56648
6	412	58511
7	475	58950
8	542	59747
9	593	58800
10	658	59191
11	713	58777
12	772	58657
13	831	58545
14	889	58385
15	953	58620
16	1008	58322
17	1045	57060
18	1083	55919
19	1117	54756
20	1134	52894
21	1174	52199
22	1213	51562
23	1254	50997
24	1293	50439
25	1332	49922
26	1392	50189
27	1411	48997
28	1451	48586
29	1490	48182
30	1526	47727
31	1564	47322
32	1604	47012
33	1645	46746
34	1659	45751
35	1696	45429
36	1732	45078
37	1770	44829
38	1808	44558
39	1846	44310
40	1884	44074
41	1921	43821
42	1959	43600
43	1995	43352
44	2027	43018
45	2065	42830
46	2103	42652
47	2142	42495
48	2181	42333
49	2205	41896
50	2236	41623
51	2274	41468
52	2313	41340
53	2352	41209
54	2390	41065
55	2427	40921
56	2467	40817
57	2506	40705
58	2542	40546
59	2580	40427
60	2617	40296
61	2656	40192
62	2695	40092
63	2733	39980
64	2771	39862
65	2810	39773
66	2849	39679
67	2888	39594
68	2927	39493
69	2964	39379
70	2990	39133
71	3029	39041
72	3069	38982
73	3107	38885
74	3145	38800
75	3160	38425
76	3199	38349
77	3237	38272
78	3276	38194
79	3312	38098
80	3339	37892
81	3376	37805
82	3412	37706
83	3450	37622
84	3488	37552
85	3526	37477
86	3574	37509
87	3612	37438
88	3651	37378
89	3688	37298
90	3724	37203
91	3761	37126
92	3799	37059
93	3834	36958
94	3889	37053
95	3926	36973
96	3965	36916
97	3979	36625
98	4005	36455
99	4044	36402
100	4082	36337
101	4120	36274
102	4158	36215
103	4166	35895
104	4180	35633
105	4205	35467
106	4242	35406
107	4281	35361
108	4296	35118
109	4331	35048
110	4367	34979
111	4407	34946
112	4427	34753
113	4463	34689
114	4502	34649
115	4541	34607
116	4578	34551
117	4586	34284
118	4623	34227
119	4662	34192
120	4699	34139
121	4713	33923
122	4752	33887
123	4790	33839
124	4825	33777
125	4863	33734
126	4902	33700
127	4941	33661
128	4978	33616
129	4999	33457
130	5035	33404
131	5072	33357
132	5093	33206
133	5108	33014
134	5146	32976
135	5185	32943
136	5193	32717
137	5201	32491
138	5239	32455
139	5277	32416
140	5315	32383
141	5353	32347
142	5373	32203
143	5412	32175
144	5452	32148
145	5489	32107
146	5527	32073
147	5565	32039
148	5603	32004
149	5612	31803
150	5651	31777
151	5687	31728
152	5725	31694
153	5763	31659
154	5802	31631
155	5840	31600
156	5875	31546
157	5913	31515
158	5929	31360
159	5942	31198
160	5982	31175
161	6021	31146
162	6060	31118
163	6097	31083
164	6136	31056
165	6175	31024
166	6213	30992
167	6252	30963
168	6289	30927
169	6303	30774
170	6340	30739
171	6377	30703
172	6416	30674
173	6454	30639
174	6493	30613
175	6515	30503
176	6534	30382
177	6572	30353
178	6611	30322
179	6652	30304
180	6690	30272
181	6727	30236
182	6765	30205
183	6779	30065
184	6816	30031
185	6856	30005
186	6894	29974
187	6933	29946
188	6973	29923
189	7012	29894
